dataset,split_id,selected_tau,base_selected_rho,rho,delta_rho,test_acc,delta_vs_mlp,fraction_routed_to_correction
texas,5,0.05,0.3,0.35,0.05,0.7297297297297297,-0.027027027027027084,0.02702702702702703
texas,5,0.05,0.3,0.4,0.1,0.7297297297297297,-0.027027027027027084,0.02702702702702703
texas,6,0.05,0.4,0.30000000000000004,-0.1,0.8108108108108109,0.0,0.02702702702702703
texas,6,0.05,0.4,0.35000000000000003,-0.05,0.8108108108108109,0.0,0.0
texas,6,0.05,0.4,0.4,0.0,0.8108108108108109,0.0,0.0
texas,6,0.05,0.4,0.45,0.05,0.8108108108108109,0.0,0.0
texas,6,0.05,0.4,0.5,0.1,0.8108108108108109,0.0,0.0
texas,7,0.05,0.4,0.30000000000000004,-0.1,0.8108108108108109,0.027027027027027084,0.02702702702702703
texas,7,0.05,0.4,0.35000000000000003,-0.05,0.8108108108108109,0.027027027027027084,0.02702702702702703
texas,7,0.05,0.4,0.4,0.0,0.8108108108108109,0.027027027027027084,0.02702702702702703
texas,7,0.05,0.4,0.45,0.05,0.7837837837837838,0.0,0.0
texas,7,0.05,0.4,0.5,0.1,0.7837837837837838,0.0,0.0
texas,8,0.05,0.3,0.19999999999999998,-0.1,0.7297297297297297,0.0,0.0
texas,8,0.05,0.3,0.25,-0.05,0.7297297297297297,0.0,0.0
texas,8,0.05,0.3,0.3,0.0,0.7297297297297297,0.0,0.0
texas,8,0.05,0.3,0.35,0.05,0.7297297297297297,0.0,0.0
texas,8,0.05,0.3,0.4,0.1,0.7297297297297297,0.0,0.0
texas,9,0.05,0.6,0.5,-0.1,0.8918918918918919,0.0,0.0
texas,9,0.05,0.6,0.5499999999999999,-0.05,0.8918918918918919,0.0,0.0
texas,9,0.05,0.6,0.6,0.0,0.8918918918918919,0.0,0.0
texas,9,0.05,0.6,0.65,0.05,0.8918918918918919,0.0,0.0
texas,9,0.05,0.6,0.7,0.1,0.8918918918918919,0.0,0.0
wisconsin,0,0.05,0.3,0.19999999999999998,-0.1,0.803921568627451,0.0,0.0
wisconsin,0,0.05,0.3,0.25,-0.05,0.803921568627451,0.0,0.0
wisconsin,0,0.05,0.3,0.3,0.0,0.803921568627451,0.0,0.0
wisconsin,0,0.05,0.3,0.35,0.05,0.803921568627451,0.0,0.0
wisconsin,0,0.05,0.3,0.4,0.1,0.803921568627451,0.0,0.0
wisconsin,1,0.05,0.3,0.19999999999999998,-0.1,0.7843137254901961,0.0,0.0196078431372549
wisconsin,1,0.05,0.3,0.25,-0.05,0.7843137254901961,0.0,0.0196078431372549
wisconsin,1,0.05,0.3,0.3,0.0,0.7843137254901961,0.0,0.0196078431372549
wisconsin,1,0.05,0.3,0.35,0.05,0.7843137254901961,0.0,0.0196078431372549
wisconsin,1,0.05,0.3,0.4,0.1,0.7843137254901961,0.0,0.0196078431372549
wisconsin,2,0.05,0.3,0.19999999999999998,-0.1,0.803921568627451,0.0,0.0392156862745098
